               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.041004,            0.068143,           0.0074542,             0.68296,              0.4331,             0.47034,             0.23623,            0.038221,            0.068579,           0.0062344,           0.0075848,           0.0075848,           0.0075848
                 106,            0.041031,            0.068371,           0.0075028,             0.67569,             0.43687,             0.47105,             0.23613,            0.038216,             0.06857,           0.0062315,            0.007543,            0.007543,            0.007543
                 107,            0.041063,            0.068211,           0.0074888,             0.68344,             0.43425,             0.47134,              0.2365,            0.038212,            0.068564,           0.0062299,           0.0075009,           0.0075009,           0.0075009
                 108,             0.04094,            0.068158,           0.0074453,             0.68767,             0.43197,             0.47141,             0.23665,            0.038204,            0.068557,           0.0062276,           0.0074585,           0.0074585,           0.0074585
                 109,            0.040928,            0.068153,           0.0074678,             0.68144,             0.43393,             0.47155,             0.23652,            0.038197,            0.068556,           0.0062248,            0.007416,            0.007416,            0.007416
                 110,            0.040945,            0.068186,           0.0073883,             0.67744,             0.43571,             0.47167,             0.23665,            0.038189,            0.068556,           0.0062208,           0.0073733,           0.0073733,           0.0073733
                 111,             0.04089,            0.068119,           0.0074712,             0.67144,             0.44014,             0.47166,             0.23665,            0.038182,            0.068558,           0.0062164,           0.0073303,           0.0073303,           0.0073303
                 112,            0.040896,            0.068124,           0.0073814,             0.67452,             0.43809,             0.47137,             0.23662,            0.038175,             0.06855,           0.0062138,           0.0072872,           0.0072872,           0.0072872
                 113,            0.040892,            0.068124,            0.007421,             0.69126,             0.43001,             0.47119,             0.23668,            0.038176,            0.068534,           0.0062145,           0.0072438,           0.0072438,           0.0072438
                 114,            0.040911,            0.068088,            0.007425,             0.69576,             0.42888,             0.47168,             0.23673,             0.03817,             0.06853,           0.0062114,           0.0072003,           0.0072003,           0.0072003
                 115,            0.040888,            0.068013,           0.0074032,             0.69179,             0.43041,             0.47176,             0.23692,            0.038167,            0.068528,           0.0062069,           0.0071566,           0.0071566,           0.0071566
                 116,            0.040902,            0.068147,           0.0073769,             0.69556,             0.42785,             0.47162,             0.23684,            0.038162,            0.068525,           0.0062047,           0.0071127,           0.0071127,           0.0071127
                 117,            0.040832,            0.067954,            0.007374,             0.68495,             0.43293,             0.47208,             0.23672,            0.038156,            0.068518,           0.0062011,           0.0070686,           0.0070686,           0.0070686
                 118,            0.040791,            0.068113,           0.0073712,             0.69327,             0.42874,             0.47235,             0.23681,             0.03815,            0.068514,           0.0061972,           0.0070243,           0.0070243,           0.0070243
                 119,            0.040788,            0.068025,           0.0073696,             0.69551,               0.427,             0.47192,             0.23691,            0.038146,             0.06851,           0.0061935,           0.0069799,           0.0069799,           0.0069799
                 120,            0.040746,            0.067863,           0.0073746,             0.67086,             0.43779,             0.47234,             0.23692,            0.038141,            0.068501,             0.00619,           0.0069353,           0.0069353,           0.0069353
                 121,             0.04079,             0.06801,           0.0073464,              0.5756,             0.44869,             0.47241,             0.23708,            0.038135,            0.068498,           0.0061878,           0.0068906,           0.0068906,           0.0068906
                 122,            0.040763,             0.06782,            0.007351,             0.58024,             0.44698,             0.47272,             0.23723,            0.038129,            0.068491,           0.0061858,           0.0068457,           0.0068457,           0.0068457
                 123,            0.040738,            0.067911,           0.0073163,              0.5803,             0.44607,             0.47292,             0.23727,            0.038123,            0.068491,           0.0061826,           0.0068006,           0.0068006,           0.0068006
                 124,             0.04071,            0.067861,           0.0073513,             0.57067,             0.45174,             0.47303,             0.23736,            0.038119,            0.068488,            0.006182,           0.0067555,           0.0067555,           0.0067555
                 125,            0.040697,            0.067855,           0.0073372,             0.58376,             0.44476,             0.47293,             0.23736,            0.038115,             0.06848,            0.006181,           0.0067101,           0.0067101,           0.0067101
                 126,              0.0407,            0.067746,            0.007342,             0.59086,             0.44157,             0.47302,             0.23741,            0.038111,            0.068477,           0.0061804,           0.0066647,           0.0066647,           0.0066647
                 127,             0.04066,            0.067699,           0.0073016,             0.58812,             0.44301,             0.47323,             0.23766,            0.038107,            0.068478,           0.0061768,           0.0066191,           0.0066191,           0.0066191
                 128,             0.04065,            0.067839,           0.0072766,             0.60418,             0.43541,             0.47369,             0.23776,              0.0381,            0.068476,            0.006173,           0.0065734,           0.0065734,           0.0065734
                 129,            0.040672,            0.067787,           0.0073203,             0.59862,             0.43892,             0.47363,             0.23796,            0.038095,            0.068474,           0.0061701,           0.0065276,           0.0065276,           0.0065276
                 130,            0.040632,            0.067637,           0.0073283,             0.59623,             0.44078,             0.47357,             0.23809,            0.038091,            0.068471,           0.0061678,           0.0064816,           0.0064816,           0.0064816
                 131,            0.040619,            0.067828,           0.0071998,             0.59696,             0.43996,             0.47338,             0.23797,            0.038088,            0.068471,           0.0061653,           0.0064356,           0.0064356,           0.0064356
                 132,            0.040667,              0.0677,           0.0072691,             0.58296,             0.44669,             0.47325,             0.23812,            0.038082,            0.068464,            0.006164,           0.0063895,           0.0063895,           0.0063895
                 133,            0.040563,            0.067801,           0.0072655,             0.59833,             0.43909,             0.47366,             0.23817,            0.038078,            0.068466,           0.0061623,           0.0063432,           0.0063432,           0.0063432
                 134,            0.040612,             0.06753,           0.0072822,             0.61277,             0.43308,              0.4736,             0.23803,            0.038074,            0.068463,           0.0061607,           0.0062969,           0.0062969,           0.0062969
                 135,            0.040554,            0.067625,           0.0072327,              0.6014,             0.43788,             0.47318,             0.23834,            0.038069,            0.068462,           0.0061571,           0.0062505,           0.0062505,           0.0062505
                 136,            0.040558,            0.067655,           0.0072836,              0.6069,             0.43507,             0.47334,             0.23856,            0.038065,            0.068458,           0.0061534,            0.006204,            0.006204,            0.006204
                 137,            0.040423,            0.067647,           0.0071893,             0.60855,              0.4347,             0.47373,             0.23847,             0.03806,            0.068454,           0.0061521,           0.0061574,           0.0061574,           0.0061574
                 138,            0.040489,            0.067346,           0.0072338,             0.59548,             0.43996,              0.4737,             0.23851,            0.038055,            0.068453,           0.0061499,           0.0061107,           0.0061107,           0.0061107
                 139,            0.040501,            0.067493,           0.0072183,             0.60417,             0.43598,             0.47365,             0.23876,            0.038048,            0.068451,           0.0061488,            0.006064,            0.006064,            0.006064
                 140,            0.040496,            0.067619,           0.0071903,             0.59778,             0.43906,             0.47455,             0.23886,            0.038044,             0.06845,           0.0061487,           0.0060172,           0.0060172,           0.0060172
                 141,            0.040473,            0.067496,           0.0072078,             0.58753,             0.44575,             0.47496,             0.23927,            0.038039,            0.068439,            0.006147,           0.0059704,           0.0059704,           0.0059704
                 142,            0.040451,            0.067489,           0.0072064,             0.59052,              0.4448,             0.47534,             0.23912,            0.038032,            0.068423,           0.0061439,           0.0059235,           0.0059235,           0.0059235
                 143,            0.040402,            0.067235,           0.0071887,             0.59319,             0.44535,             0.47564,             0.23908,            0.038026,            0.068417,           0.0061421,           0.0058766,           0.0058766,           0.0058766
                 144,            0.040441,             0.06762,           0.0071785,             0.59494,              0.4442,             0.47541,              0.2387,            0.038021,            0.068413,           0.0061391,           0.0058296,           0.0058296,           0.0058296
                 145,            0.040391,            0.067441,           0.0071657,             0.60138,              0.4414,             0.47605,               0.239,            0.038015,            0.068404,            0.006136,           0.0057826,           0.0057826,           0.0057826
                 146,            0.040348,            0.067286,           0.0071347,             0.60805,             0.43825,             0.47637,             0.23922,            0.038008,            0.068394,           0.0061359,           0.0057355,           0.0057355,           0.0057355
                 147,            0.040347,             0.06725,           0.0071431,             0.60322,             0.43947,             0.47577,             0.23942,            0.038004,            0.068389,           0.0061343,           0.0056884,           0.0056884,           0.0056884
                 148,            0.040357,            0.067487,           0.0071595,             0.59918,             0.44234,             0.47572,              0.2393,            0.037999,            0.068385,           0.0061325,           0.0056413,           0.0056413,           0.0056413
                 149,            0.040282,            0.067431,           0.0071282,             0.60509,             0.43879,              0.4754,             0.23938,            0.037993,            0.068379,           0.0061302,           0.0055942,           0.0055942,           0.0055942
                 150,            0.040264,            0.067177,           0.0071242,             0.60683,             0.43743,             0.47575,             0.23964,            0.037988,            0.068369,           0.0061259,           0.0055471,           0.0055471,           0.0055471
                 151,            0.040297,            0.067404,           0.0071143,             0.60365,             0.44005,             0.47655,             0.24015,            0.037982,            0.068362,           0.0061218,              0.0055,              0.0055,              0.0055
                 152,            0.040239,            0.067194,           0.0070547,             0.60489,             0.44035,              0.4768,             0.23995,            0.037977,            0.068356,           0.0061185,           0.0054529,           0.0054529,           0.0054529
                 153,            0.040223,            0.067115,           0.0071375,             0.59447,             0.44497,             0.47729,              0.2402,            0.037975,            0.068352,           0.0061137,           0.0054058,           0.0054058,           0.0054058
