               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/car_mAP_50,  metrics/bus_mAP_50,metrics/other_truck_mAP_50,metrics/uhaul_truck_mAP_50,metrics/fedex_truck_mAP_50,metrics/ups_truck_mAP_50,metrics/amazon_truck_mAP_50,metrics/usps_truck_mAP_50
                  74,            0.019938,           0.0071068,            0.006599,             0.60332,             0.65137,              0.6388,             0.43289,            0.015267,           0.0046917,           0.0052251,           0.0028082,           0.0028082,           0.0028082,             0.54119,             0.60597,             0.44554,             0.03813,             0.34498,             0.65513,             0.50548,             0.32673
                  75,            0.020213,           0.0071575,           0.0065725,             0.57209,             0.64597,             0.62855,             0.41991,            0.015328,           0.0047043,           0.0052798,            0.002798,            0.002798,            0.002798,             0.53164,              0.6288,             0.42634,            0.033341,             0.34167,             0.63403,             0.46296,             0.30052
                  76,            0.019587,           0.0068143,           0.0065394,             0.58413,             0.64814,             0.63896,             0.41406,            0.015325,           0.0046789,           0.0051875,           0.0027876,           0.0027876,           0.0027876,             0.53871,             0.61544,             0.44282,            0.040298,             0.33728,             0.58606,             0.43415,             0.31772
                  77,            0.019519,            0.006715,           0.0066004,             0.57601,             0.67624,             0.64058,             0.43419,            0.015154,           0.0047154,           0.0051961,           0.0027771,           0.0027771,           0.0027771,             0.53868,             0.61272,              0.4288,            0.039802,             0.37316,             0.67687,             0.48894,             0.31458
                  78,            0.019524,           0.0069541,           0.0065332,             0.60922,             0.63615,             0.63971,             0.43217,            0.015081,           0.0046765,           0.0051282,           0.0027665,           0.0027665,           0.0027665,             0.53834,               0.619,               0.431,            0.039364,             0.40394,             0.63537,             0.49685,             0.29349
                  79,             0.01931,           0.0068701,           0.0066476,             0.62599,             0.61575,             0.64245,             0.42335,            0.015794,           0.0047025,           0.0050606,           0.0027558,           0.0027558,           0.0027558,             0.53416,             0.59644,             0.43022,            0.041671,             0.37385,             0.60848,             0.47858,             0.32343
                  80,             0.01969,           0.0069401,            0.006424,             0.60311,             0.64174,             0.64437,              0.4435,             0.01506,           0.0046788,           0.0050249,            0.002745,            0.002745,            0.002745,              0.5411,             0.63765,             0.44603,            0.043391,             0.41569,             0.68452,             0.45116,             0.32846
                  81,            0.019774,           0.0069133,           0.0059227,             0.63686,             0.62704,             0.65965,             0.44038,            0.015027,           0.0046845,           0.0049777,           0.0027341,           0.0027341,           0.0027341,             0.53665,             0.62201,             0.43714,            0.052147,             0.37597,             0.65243,             0.48501,             0.36167
                  82,            0.019603,           0.0067427,           0.0063649,              0.6348,             0.65968,             0.66421,             0.45197,             0.01499,           0.0046476,           0.0050088,           0.0027231,           0.0027231,           0.0027231,             0.54504,             0.60405,             0.44651,            0.043654,             0.40681,             0.69881,             0.50402,             0.36687
                  83,            0.019564,            0.007143,           0.0061854,             0.72295,             0.59418,             0.66695,             0.45847,            0.014829,           0.0046696,           0.0049535,            0.002712,            0.002712,            0.002712,             0.54437,             0.62735,             0.43568,            0.047259,             0.43589,             0.67705,             0.53012,             0.37006
